Ward,Name,Post_code,Address,Opening time
Barking and Dagenham,Barking Learning Centre,IG11 7NB,"2 Town Square, Barking, IG11 7NB.","Monday to Thursday, 9am to 7pm, Friday and Saturday, 9am to 5pm, Sunday, 10am to 4pm"
,Castle Point,RM8 3YJ,"163 Bennett's Castle Lane, Dagenham, RM8 3YJ","Monday, 10am to 2pm, Tuesday, 10 am 12pm， Wednesday, 10am to 3pm, Thursday, 12pm to 3pm"
,DABD Parsloes Avenue Annex site,RM9 5NU,"42-48 Parsloes Avenue, Dagenham, RM9 5NU","Tuesday, Wednesday and Thursday from 10am to 3pm"
,Dagenham Library,RM10 9QS,"1 Church Elm Lane, Dagenham, RM10 9QS.","Monday to Thursday, 10am to 6pm Friday and Saturday, 10am to 4pm"
,Heath Community Hub (William Bellamy),RM10 7HX,"Frizlands Lane, Dagenham, RM10 7HX","Monday and Wednesday, 10am to 3pm"
,London Riverside Church (Side Entrance),RM9 5PT,"Parsloes Ave, Dagenham RM9 5PT","Every Thursday in December (apart from 29 December), January and February, 11am to 1pm"
,Marks Gate Community Hub,RM6 5NJ,"Marks Gate Community Centre, Rose Lane, Marks Gate, RM6 5NJ.","Monday to Friday, 10am to 4pm"
,Northbury Community Hub,IG11 8PY,"Al Madina Mosque, 1st floor, The Hive, 2 Victoria Road, Barking, IG11 8PY","Monday to Sunday, 9am to 7pm"
,Park Centre,RM10 9SA,Rectory Road Dagenham RM10 9SA,"Monday, Tuesday and Friday (Main Hall),  10am - 4pm, Wednesday & Thursday (Activity Room), 10am to 4pm"
,Robert Jeyes Library,RM6 6AS,"Chadwell Heath Community Centre, High Road Chadwell Heath, RM6 6AS","Monday to Thursday, 10:30am to 4pm"
,Thames Community Hub,IG11 0LG,"Bastable Avenue, Barking, IG11 0LG","Monday to Friday, 10am to 4pm"
,Valence Library,RM8 3HT,"Becontree Avenue, Dagenham, RM8 3HT","Monday to Thursday, 10am to 4pm Saturday,  10am to 3pm "
,Village Community Hub,RM10 9XW,"215 Wellington Drive, Dagenham, RM10 9XW.","Monday to Friday, 10am to 4pm"
Barnet,All Saints’ Church - Child's Hill,NW2 2TJ,"All Saints’ Church Child’s Hill, Church Walk, London, NW2 2TJ",
,Ann Owens Centre - Age UK,N2 8LT,"Ann Owens Centre, Oak Lane, East Finchley, N2 8LT",
,artsdepot,N12 0GA,"5 Nether Street, Tally Ho Corner, North Finchley, London, N12 0GA",
,Child’s Hill Library - Kisharon,NW2 2QE,"320 Cricklewood Lane, London, NW2 2QE",
,Chipping Barnet library,EN5 4QT,"3 Stapylton Road, Barnet, EN5 4QT",
,Colindale Communities Trust,NW9 5XA,"The Old Library, The Concourse, NW9 5XA",
,Colindale library,NW9 4BR,"7 Bristol Avenue, Colindale, NW9 4BR",
,Copthall Leisure Centre,NW4 1PX,"Champions Way, Hendon, London, NW4 1PX",
,Edgware Community Hospital,HA8 0AD,"Burnt Oak Broadway, Edgware, London, HA8 0AD",
,Finchley Church End library,N3 2LN," 318 Regents Park Rd, London, N3 2LN",
,Finchley Memorial Hospital,N12 0JE,"Granville Road, London, N12 0JE",
,Friern Barnet Community Library,N113DS,"Friern Barnet Road, London, N113DS",
,Grahame Park Medical Centre,NW9 5XT,"The Concourse, London, NW9 5XT",
,Grange Big Local,N2 0TH,"Holy Trinity Church, 77 Church Lane, N2 0TH",
,Hendon Salvation Army,NW4 4AE,"1 - 5 Brampton Grove, Hendon, London, NW4 4AE",
,Hope Corner Community Centre,EN5 2DY,"Hope Corner Community Centre, 185 Mays Lane, Barnet, London, EN5 2DY",
,Islamic Association of North London,N12 0DA,"683-685 High Road, Finchley, N12 0DA",
,Jim's Community Cafe,EN4 8RN,"71 East Barnet Road, St James' Church, New Barnet, EN4 8RN",
,Living Way Ministries,NW9 5XB,"7 The Concourse, London, NW9 5XB",
,Middlesex University,NW4 4BT,"Rickett Quadrangle, College Building, Middlesex University, The Burroughs, London, NW4 4BT",
,North Finchley library,N12 9HP," Ravensdale Ave,, London, N12 9HP",
,Oakleigh Community Church,N20 0UG,"168-170 Oakleigh Road, North Whetstone, London, N20 0UG",
