Ward,Name,opening_hour,Opening time,Post_code,Address,latitude,longitude
Barking and Dagenham,Barking Learning Centre,62,"Monday to Thursday, 9am to 7pm, Friday and Saturday, 9am to 5pm, Sunday, 10am to 4pm",IG11 7NB,"2 Town Square, Barking, IG11 7NB.",51.5365698,0.0800505
,Castle Point,14,"Monday, 10am to 2pm, Tuesday, 10 am 12pm, Wednesday, 10am to 3pm, Thursday, 12pm to 3pm",RM8 3YJ,"163 Bennett's Castle Lane, Dagenham, RM8 3YJ",51.5543586,0.1265019
,DABD Parsloes Avenue Annex site,15,"Tuesday, Wednesday and Thursday from 10am to 3pm",RM9 5NU,"42-48 Parsloes Avenue, Dagenham, RM9 5NU",51.5443334,0.1446826
,Dagenham Library,44,"Monday to Thursday, 10am to 6pm Friday and Saturday, 10am to 4pm",RM10 9QS,"1 Church Elm Lane, Dagenham, RM10 9QS.",51.5400707,0.1496017
,Heath Community Hub (William Bellamy),10,"Monday and Wednesday, 10am to 3pm",RM10 7HX,"Frizlands Lane, Dagenham, RM10 7HX",51.5582265,0.1545405
,London Riverside Church (Side Entrance),2,"Every Thursday in December (apart from 29 December), January and February, 11am to 1pm",RM9 5PT,"Parsloes Ave, Dagenham RM9 5PT",51.5455584,0.1401393
,Marks Gate Community Hub,30,"Monday to Friday, 10am to 4pm",RM6 5NJ,"Marks Gate Community Centre, Rose Lane, Marks Gate, RM6 5NJ.",51.5854112,0.1358767
,Northbury Community Hub,70,"Monday to Sunday, 9am to 7pm",IG11 8PY,"Al Madina Mosque, 1st floor, The Hive, 2 Victoria Road, Barking, IG11 8PY",51.5439097,0.0757533
,Park Centre,30,"Monday, Tuesday and Friday (Main Hall),  10am - 4pm, Wednesday & Thursday (Activity Room), 10am to 4pm",RM10 9SA,"Rectory Road Dagenham, RM10 9SA",51.5390699,0.1541547
,Robert Jeyes Library,22,"Monday to Thursday, 10:30am to 4pm",RM6 6AS,"Chadwell Heath Community Centre, High Road Chadwell Heath, RM6 6AS",51.5726285,0.1429982
,Thames Community Hub,30,"Monday to Friday, 10am to 4pm",IG11 0LG,"Bastable Avenue, Barking, IG11 0LG",51.5279414,0.1038611
,Valence Library,29,"Monday to Thursday, 10am to 4pm Saturday,  10am to 3pm ",RM8 3HT,"Becontree Avenue, Dagenham, RM8 3HT",51.558311,0.1341738
